# Name         	     ra	    dec	   dist	disterr	   vlos	vloserr	  sigma	   rmax	   pmra	  pmdec	    plx	 pmra_e	pmdec_e	 pmcorr	  plx_e
NGC_104_47Tuc  	  6.024	-72.081	   4.52	   0.03	 -17.45	   0.16	   12.2	   40.0	 5.2516	-2.5515	 0.2318	 0.0214	 0.0214	-0.0023	 0.0095
NGC_288        	 13.188	-26.583	   8.99	   0.09	 -44.45	   0.13	    3.3	   15.0	 4.1641	-5.7053	 0.1410	 0.0241	 0.0243	 0.0094	 0.0106
NGC_362        	 15.809	-70.849	   8.83	   0.10	 223.12	   0.28	    8.8	   12.0	 6.6935	-2.5354	 0.1141	 0.0245	 0.0242	 0.0039	 0.0105
Whiting_1      	 30.737	 -3.253	  30.59	   1.17	-130.41	   1.79	    0.3	    3.0	-0.2277	-2.0458	 0.0168	 0.0653	 0.0561	 0.0333	 0.0469
NGC_1261       	 48.068	-55.216	  16.40	   0.19	  71.34	   0.21	    5.8	   10.0	 1.5957	-2.0642	 0.0679	 0.0249	 0.0251	 0.0082	 0.0108
Pal_1          	 53.333	 79.581	  11.18	   0.32	 -75.72	   0.29	    0.5	    3.0	-0.2515	 0.0075	 0.1118	 0.0342	 0.0373	 0.0768	 0.0226
AM_1           	 58.760	-49.615	 118.91	   3.40	 118.00	  14.14	    1.2	    2.5	 0.2912	-0.1772	-0.0124	 0.1071	 0.0859	-0.2230	 0.0602
Eridanus       	 66.185	-21.187	  84.68	   2.89	 -23.15	   0.73	    0.7	    4.0	 0.5096	-0.3011	 0.0503	 0.0387	 0.0408	-0.0858	 0.0327
Pal_2          	 71.525	 31.381	  26.17	   1.28	-135.97	   1.55	    5.0	    3.0	 1.0448	-1.5218	 0.0420	 0.0341	 0.0312	 0.0440	 0.0212
NGC_1851       	 78.528	-40.047	  11.95	   0.13	 321.40	   1.55	   10.6	   15.0	 2.1452	-0.6496	 0.0877	 0.0240	 0.0242	-0.0192	 0.0105
NGC_1904_M_79  	 81.044	-24.524	  13.08	   0.18	 205.76	   0.20	    6.5	   10.0	 2.4690	-1.5938	 0.0879	 0.0249	 0.0251	-0.0008	 0.0109
NGC_2298       	102.248	-36.005	   9.83	   0.17	 147.15	   0.57	    3.2	    6.0	 3.3195	-2.1755	 0.1213	 0.0255	 0.0256	 0.0050	 0.0110
NGC_2419       	114.535	 38.882	  88.47	   2.40	 -21.10	   0.31	   11.1	    6.0	 0.0073	-0.5226	 0.0025	 0.0278	 0.0264	 0.0288	 0.0166
Ko_2           	119.571	 26.255	  34.70	    nan	    nan	    nan	    0.1	    2.0	-0.5300	-0.0491	 0.3734	 0.1573	 0.1367	-0.1271	 0.1602
Pyxis          	136.991	-37.221	  36.53	   0.66	  40.46	   0.21	    0.9	    3.0	 1.0304	 0.1378	 0.0157	 0.0318	 0.0347	 0.0316	 0.0217
NGC_2808       	138.013	-64.863	  10.06	   0.11	 103.57	   0.27	   15.0	   15.0	 0.9944	 0.2734	 0.1121	 0.0238	 0.0240	-0.0145	 0.0103
E_3            	140.238	-77.282	   7.88	   0.25	  11.71	   0.34	    0.6	    4.0	-2.7274	 7.0827	 0.1461	 0.0272	 0.0271	 0.0012	 0.0129
Pal_3          	151.383	  0.072	  94.84	   3.23	  94.04	   0.80	    0.9	    3.0	 0.0861	-0.1484	-0.0009	 0.0602	 0.0709	-0.4099	 0.0497
NGC_3201       	154.403	-46.412	   4.74	   0.04	 493.65	   0.21	    4.3	   25.0	 8.3476	-1.9575	 0.2219	 0.0220	 0.0221	-0.0049	 0.0099
ESO_93-8       	169.925	-65.220	  13.70	    nan	  86.00	  10.00	    1.0	    2.0	-4.0679	 1.4002	 0.1005	 0.0329	 0.0338	-0.0090	 0.0180
Pal_4          	172.320	 28.974	 101.39	   2.57	  72.40	   0.24	    1.0	    4.0	-0.1877	-0.4761	-0.0246	 0.0419	 0.0409	-0.1436	 0.0326
Crater         	174.067	-10.877	 147.23	   4.27	 148.10	   0.65	    0.6	    3.0	-0.0585	-0.1157	 0.0028	 0.1254	 0.1161	-0.2253	 0.1422
Bliss_1        	177.511	-41.772	  23.70	    nan	    nan	    nan	    0.1	    3.0	-2.3402	 0.1378	 0.0245	 0.0417	 0.0382	-0.1603	 0.0388
Ko_1           	179.827	 12.260	  48.30	    nan	    nan	    nan	    0.1	    2.0	-1.5133	-0.8135	-0.0479	 0.1349	 0.1054	-0.2150	 0.1333
NGC_4147       	182.526	 18.543	  18.54	   0.21	 179.35	   0.31	    3.0	    8.0	-1.7070	-2.0896	 0.0292	 0.0273	 0.0274	-0.0228	 0.0134
NGC_4372       	186.439	-72.659	   5.71	   0.21	  75.59	   0.30	    4.7	   15.0	-6.4090	 3.2975	 0.1871	 0.0241	 0.0238	 0.0037	 0.0102
Rup_106        	189.667	-51.150	  20.71	   0.36	 -38.36	   0.26	    1.8	    3.0	-1.2535	 0.4009	 0.0672	 0.0264	 0.0261	 0.0286	 0.0129
NGC_4590_M_68  	189.867	-26.744	  10.40	   0.10	 -93.11	   0.18	    3.8	   15.0	-2.7390	 1.7786	 0.1132	 0.0240	 0.0239	 0.0008	 0.0106
BH_140         	193.473	-67.177	   4.81	   0.25	  90.30	   0.35	    1.0	   10.0	-14.848	 1.2241	 0.2188	 0.0244	 0.0243	 0.0018	 0.0105
NGC_4833       	194.891	-70.877	   6.48	   0.08	 201.99	   0.40	    4.6	   12.0	-8.3774	-0.9631	 0.1635	 0.0249	 0.0245	-0.0146	 0.0106
NGC_5024_M_53  	198.230	 18.168	  18.50	   0.18	 -63.37	   0.25	    5.6	   20.0	-0.1334	-1.3306	 0.0673	 0.0241	 0.0240	 0.0008	 0.0105
NGC_5053       	199.113	 17.700	  17.54	   0.23	  42.82	   0.25	    1.6	   15.0	-0.3293	-1.2129	 0.0500	 0.0253	 0.0253	-0.0219	 0.0114
Kim_3          	200.688	-30.601	  15.10	    nan	    nan	    nan	    0.1	    2.0	-0.8620	 3.3412	 0.0858	 0.1686	 0.1305	-0.2738	 0.1569
NGC_5139_oCen  	201.697	-47.480	   5.43	   0.05	 232.78	   0.21	   17.6	   40.0	-3.2499	-6.7463	 0.1931	 0.0217	 0.0216	 0.0138	 0.0095
NGC_5272_M_3   	205.548	 28.377	  10.18	   0.08	-147.20	   0.27	    8.2	   30.0	-0.1519	-2.6696	 0.1104	 0.0228	 0.0222	 0.0035	 0.0102
NGC_5286       	206.612	-51.374	  11.10	   0.14	  62.38	   0.40	    9.4	    8.0	 0.1984	-0.1533	 0.0883	 0.0255	 0.0253	-0.0021	 0.0109
AM_4           	209.090	-27.167	  29.01	   0.94	 151.19	   2.85	    1.0	    2.0	-0.2911	-2.5119	 0.1074	 0.4448	 0.3441	-0.3645	 0.3366
NGC_5466       	211.364	 28.534	  16.12	   0.16	 106.82	   0.20	    1.6	   15.0	-5.3423	-0.8223	 0.0568	 0.0245	 0.0242	 0.0140	 0.0108
NGC_5634       	217.405	 -5.976	  25.96	   0.62	 -16.07	   0.60	    5.3	    8.0	-1.6918	-1.4781	 0.0556	 0.0269	 0.0263	-0.0078	 0.0122
NGC_5694       	219.901	-26.539	  34.84	   0.74	-139.55	   0.49	    8.9	    5.0	-0.4636	-1.1046	 0.0335	 0.0293	 0.0290	-0.0610	 0.0171
IC_4499        	225.077	-82.214	  18.89	   0.25	  38.41	   0.31	    2.8	    6.0	 0.4658	-0.4890	 0.0540	 0.0253	 0.0253	 0.0108	 0.0110
Munoz_1        	225.450	 66.969	  45.00	    nan	-137.00	   4.00	    1.0	    3.0	-0.1031	-0.0591	 0.2316	 0.1920	 0.1792	-0.2434	 0.1344
NGC_5824       	225.994	-33.068	  31.71	   0.60	 -25.24	   0.52	   11.6	    8.0	-1.1892	-2.2338	 0.0573	 0.0260	 0.0257	-0.0179	 0.0121
Pal_5          	229.019	 -0.121	  21.94	   0.51	 -58.61	   0.15	    0.7	    8.0	-2.7298	-2.6540	 0.0484	 0.0278	 0.0272	 0.0027	 0.0151
NGC_5897       	229.352	-21.010	  12.55	   0.24	 101.31	   0.22	    3.7	   10.0	-5.4217	-3.3926	 0.1047	 0.0252	 0.0251	-0.0057	 0.0110
NGC_5904_M_5   	229.638	  2.081	   7.48	   0.06	  53.50	   0.25	    7.8	   25.0	 4.0856	-9.8696	 0.1409	 0.0230	 0.0231	-0.0051	 0.0101
NGC_5927       	232.003	-50.673	   8.27	   0.11	-104.09	   0.28	    6.4	   10.0	-5.0564	-3.2166	 0.1271	 0.0246	 0.0249	-0.0076	 0.0105
NGC_5946       	233.869	-50.660	   9.64	   0.51	 137.60	   0.94	    6.4	    5.0	-5.3310	-1.6572	 0.1116	 0.0275	 0.0271	-0.0134	 0.0121
BH_176         	234.781	-50.050	  18.90	    nan	  -6.00	  14.00	    0.1	    3.0	-3.9889	-3.0568	 0.0719	 0.0293	 0.0287	-0.0200	 0.0178
NGC_5986       	236.512	-37.786	  10.54	   0.13	 101.18	   0.43	    8.3	    8.0	-4.1925	-4.5680	 0.1110	 0.0259	 0.0256	-0.0130	 0.0113
FSR_1716       	242.625	-53.749	   7.43	   0.27	 -30.70	   0.98	    2.6	    4.0	-4.3537	-8.8318	 0.1081	 0.0334	 0.0312	-0.0012	 0.0166
Pal_14         	242.752	 14.958	  73.58	   1.63	  72.30	   0.14	    0.7	    5.0	-0.4626	-0.4132	 0.0355	 0.0384	 0.0378	 0.1208	 0.0323
Lynga_7_BH184  	242.765	-55.318	   7.90	   0.16	  17.86	   0.83	    4.0	    4.0	-3.8510	-7.0495	 0.1213	 0.0269	 0.0271	 0.0161	 0.0118
NGC_6093_M_80  	244.260	-22.976	  10.34	   0.12	  10.93	   0.39	   10.9	    8.0	-2.9339	-5.5784	 0.1016	 0.0267	 0.0261	-0.0149	 0.0114
Ryu_059_RLGC1  	244.286	-44.593	  28.80	    nan	    nan	    nan	    0.1	    1.0	 1.0223	 0.7697	-0.0658	 0.0553	 0.0470	 0.0104	 0.0463
NGC_6121_M_4   	245.897	-26.526	   1.85	   0.02	  71.21	   0.15	    4.7	   30.0	-12.514	-19.022	 0.5558	 0.0231	 0.0227	-0.0184	 0.0099
NGC_6101       	246.450	-72.202	  14.45	   0.19	 366.33	   0.32	    2.7	   10.0	 1.7558	-0.2577	 0.0835	 0.0241	 0.0245	 0.0009	 0.0106
NGC_6144       	246.808	-26.023	   8.15	   0.13	 194.79	   0.58	    2.7	    6.0	-1.7435	-2.6068	 0.1315	 0.0263	 0.0258	-0.0022	 0.0114
NGC_6139       	246.918	-38.849	  10.04	   0.45	  24.41	   0.95	   11.5	    8.0	-6.0814	-2.7112	 0.1119	 0.0267	 0.0262	 0.0060	 0.0115
Terzan_3       	247.167	-35.353	   7.64	   0.31	-135.76	   0.57	    2.3	    5.0	-5.5765	-1.7597	 0.1326	 0.0267	 0.0261	 0.0084	 0.0118
NGC_6171_M107  	248.133	-13.054	   5.63	   0.08	 -34.71	   0.18	    4.3	   10.0	-1.9392	-5.9789	 0.1943	 0.0253	 0.0250	 0.0047	 0.0108
ESO452_SC11    	249.854	-28.399	   7.39	   0.20	  16.37	   0.44	    1.5	    2.0	-1.4234	-6.4720	 0.1621	 0.0314	 0.0303	-0.0562	 0.0150
NGC_6205_M_13  	250.422	 36.460	   7.42	   0.08	-244.90	   0.30	    9.2	   25.0	-3.1493	-2.5735	 0.1269	 0.0227	 0.0231	-0.0092	 0.0102
NGC_6229       	251.745	 47.528	  30.11	   0.47	-137.89	   0.71	    7.1	    6.0	-1.1706	-0.4665	 0.0405	 0.0263	 0.0267	 0.0141	 0.0116
NGC_6218_M_12  	251.809	 -1.949	   5.11	   0.05	 -41.67	   0.14	    5.0	   15.0	-0.1914	-6.8019	 0.2078	 0.0241	 0.0240	 0.0124	 0.0105
FSR_1735       	253.044	-47.058	   9.08	   0.53	 -69.85	   4.88	    2.7	    2.0	-4.4395	-1.5341	-0.0732	 0.0537	 0.0476	-0.0471	 0.0343
NGC_6235       	253.355	-22.177	  11.94	   0.38	 126.68	   0.33	    4.1	    4.0	-3.9306	-7.5872	 0.0895	 0.0272	 0.0266	-0.0113	 0.0122
NGC_6254_M_10  	254.288	 -4.100	   5.07	   0.06	  74.21	   0.23	    6.2	   20.0	-4.7577	-6.5968	 0.1959	 0.0235	 0.0236	-0.0179	 0.0103
NGC_6256       	254.886	-37.121	   7.24	   0.29	 -99.75	   0.66	    5.6	    4.0	-3.7149	-1.6375	 0.1621	 0.0312	 0.0304	-0.0006	 0.0126
Pal_15         	254.963	 -0.539	  44.10	   1.14	  72.27	   1.74	    1.2	    4.0	-0.5924	-0.9010	 0.0239	 0.0369	 0.0343	 0.0244	 0.0247
NGC_6266_M_62  	255.303	-30.114	   6.41	   0.10	 -73.98	   0.67	   15.3	   10.0	-4.9778	-2.9467	 0.1849	 0.0265	 0.0263	 0.0119	 0.0106
NGC_6273_M_19  	255.657	-26.268	   8.34	   0.16	 145.54	   0.59	   11.8	   10.0	-3.2487	 1.6604	 0.1419	 0.0256	 0.0251	 0.0023	 0.0107
NGC_6284       	256.119	-24.765	  14.21	   0.42	  28.62	   0.73	    7.3	    4.0	-3.1997	-2.0021	 0.0980	 0.0286	 0.0278	-0.0018	 0.0124
NGC_6287       	256.288	-22.708	   7.93	   0.37	-294.74	   1.65	    6.3	    6.0	-5.0103	-1.8830	 0.1490	 0.0292	 0.0277	 0.0067	 0.0127
NGC_6293       	257.543	-26.582	   9.19	   0.28	-143.66	   0.39	    6.8	    5.0	 0.8703	-4.3260	 0.1274	 0.0280	 0.0275	-0.0059	 0.0117
NGC_6304       	258.634	-29.462	   6.15	   0.15	-108.62	   0.39	    5.0	    5.0	-4.0700	-1.0878	 0.1691	 0.0285	 0.0283	 0.0052	 0.0114
NGC_6316       	259.155	-28.140	  11.15	   0.39	  99.65	   0.84	    9.0	    4.0	-4.9691	-4.5916	 0.1129	 0.0313	 0.0301	 0.0148	 0.0135
NGC_6341_M_92  	259.281	 43.136	   8.50	   0.07	-120.55	   0.27	    8.7	   15.0	-4.9349	-0.6251	 0.1116	 0.0243	 0.0239	-0.0000	 0.0103
NGC_6325       	259.497	-23.766	   7.53	   0.32	  29.54	   0.58	    6.4	    3.0	-8.2893	-9.0004	 0.1621	 0.0302	 0.0291	 0.0204	 0.0134
NGC_6333_M_9   	259.797	-18.516	   8.30	   0.14	 310.75	   2.12	    8.1	    8.0	-2.1801	-3.2218	 0.1351	 0.0262	 0.0259	 0.0172	 0.0109
NGC_6342       	260.292	-19.587	   8.01	   0.23	 115.75	   0.90	    5.6	    4.0	-2.9026	-7.1156	 0.1405	 0.0272	 0.0265	-0.0037	 0.0120
NGC_6356       	260.896	-17.813	  15.66	   0.92	  48.18	   1.82	    7.6	    8.0	-3.7501	-3.3923	 0.0957	 0.0264	 0.0260	-0.0007	 0.0119
NGC_6355       	260.994	-26.353	   8.65	   0.22	-195.85	   0.55	    6.6	    3.0	-4.7384	-0.5721	 0.1497	 0.0312	 0.0301	 0.0210	 0.0124
NGC_6352       	261.371	-48.422	   5.54	   0.07	-125.63	   1.01	    3.5	   10.0	-2.1575	-4.4465	 0.1901	 0.0251	 0.0247	-0.0095	 0.0108
IC_1257        	261.785	 -7.093	  26.59	   1.43	-137.97	   2.04	    1.9	    2.0	-1.0069	-1.4916	 0.0568	 0.0400	 0.0321	 0.0998	 0.0274
Terzan_2_HP_3  	261.888	-30.802	   7.75	   0.33	 134.56	   0.96	    3.9	    2.0	-2.1699	-6.2626	 0.1010	 0.0410	 0.0382	 0.0495	 0.0247
NGC_6366       	261.934	 -5.080	   3.44	   0.05	-120.65	   0.19	    2.9	   12.0	-0.3324	-5.1595	 0.2852	 0.0246	 0.0244	 0.0057	 0.0107
Terzan_4_HP_4  	262.663	-31.596	   7.59	   0.31	 -48.96	   1.57	    4.4	    3.0	-5.4616	-3.7110	 0.0897	 0.0600	 0.0481	 0.1929	 0.0407
HP_1_BH_229    	262.772	-29.982	   7.00	   0.14	  39.76	   1.22	    5.3	    3.0	 2.5228	-10.093	 0.1243	 0.0391	 0.0374	 0.0381	 0.0143
FSR_1758       	262.800	-39.808	  11.09	   0.74	 227.31	   0.59	    5.0	    10.	-2.8815	 2.5186	 0.1223	 0.0259	 0.0255	-0.0113	 0.0112
NGC_6362       	262.979	-67.048	   7.65	   0.07	 -14.58	   0.18	    3.7	   12.0	-5.5058	-4.7629	 0.1358	 0.0238	 0.0240	-0.0033	 0.0104
Liller_1       	263.352	-33.390	   8.06	   0.34	  60.36	   2.44	    3.0	    2.0	-5.4028	-7.4313	-0.0857	 0.1087	 0.0769	 0.2974	 0.0782
NGC_6380_Ton1  	263.617	-39.069	   9.61	   0.30	  -1.48	   0.73	    8.3	    4.0	-2.1832	-3.2326	 0.0988	 0.0310	 0.0302	 0.0115	 0.0144
Terzan_1_HP_2  	263.946	-30.481	   5.67	   0.17	  56.75	   1.61	    7.8	    3.0	-2.8062	-4.8613	 0.0442	 0.0553	 0.0548	 0.0114	 0.0223
Ton2_Pismis26  	264.044	-38.553	   6.99	   0.34	-184.72	   1.12	    2.8	    3.0	-5.9041	-0.7551	 0.1427	 0.0308	 0.0294	 0.0335	 0.0147
NGC_6388       	264.072	-44.736	  11.17	   0.16	  83.11	   0.45	   17.8	   10.0	-1.3159	-2.7088	 0.1001	 0.0262	 0.0259	-0.0089	 0.0113
NGC_6402_M_14  	264.400	 -3.246	   9.14	   0.25	 -60.71	   0.45	   10.9	    8.0	-3.5899	-5.0588	 0.1291	 0.0254	 0.0255	 0.0132	 0.0108
NGC_6401       	264.652	-23.910	   8.06	   0.24	-105.44	   2.50	    8.6	    3.0	-2.7477	 1.4441	 0.1489	 0.0353	 0.0342	 0.0140	 0.0131
NGC_6397       	265.175	-53.674	   2.48	   0.02	  18.51	   0.08	    5.4	   25.0	 3.2603	-17.664	 0.4165	 0.0227	 0.0225	-0.0022	 0.0098
VVV_CL002      	265.276	-28.845	   8.00	    nan	    nan	    nan	    0.1	    1.0	-8.8674	 2.3900	 0.1398	 0.1425	 0.0852	 0.1745	 0.0992
Pal_6          	265.926	-26.223	   7.05	   0.45	 177.00	   1.35	    6.4	    3.0	-9.2219	-5.3466	 0.1036	 0.0384	 0.0361	 0.0284	 0.0168
NGC_6426       	266.228	  3.170	  20.71	   0.35	-210.51	   0.51	    2.2	    4.0	-1.8280	-2.9992	 0.0510	 0.0265	 0.0265	 0.0223	 0.0122
Djorg_1        	266.868	-33.066	   9.88	   0.65	-359.18	   1.64	    3.3	    2.0	-4.6934	-8.4678	 0.0942	 0.0462	 0.0411	 0.0187	 0.0268
