# Name         	     ra	    dec	   dist	disterr	   vlos	vloserr	  sigma	   rmax	   pmra	  pmdec	    plx	 pmra_e	pmdec_e	 pmcorr	  plx_e
NGC_104_47Tuc  	  6.024	-72.081	   4.52	   0.03	 -17.45	   0.16	   12.2	   40.0	  5.259	 -2.543	  0.232	  0.025	  0.025	 -0.000	  0.009
NGC_288        	 13.188	-26.583	   8.99	   0.09	 -44.45	   0.13	    3.3	   15.0	  4.157	 -5.705	  0.139	  0.025	  0.025	  0.012	  0.011
NGC_362        	 15.809	-70.849	   8.83	   0.10	 223.12	   0.28	    8.8	   12.0	  6.685	 -2.541	  0.115	  0.025	  0.025	 -0.002	  0.010
Whiting_1      	 30.737	 -3.253	  30.59	   1.17	-130.41	   1.79	    0.3	    3.0	 -0.245	 -2.009	  0.023	  0.053	  0.045	  0.041	  0.041
NGC_1261       	 48.068	-55.216	  16.40	   0.19	  71.34	   0.21	    5.8	   10.0	  1.605	 -2.060	  0.069	  0.025	  0.025	 -0.001	  0.011
Pal_1          	 53.333	 79.581	  11.18	   0.32	 -75.72	   0.29	    0.5	    3.0	 -0.263	 -0.021	  0.110	  0.033	  0.035	  0.070	  0.021
AM_1           	 58.760	-49.615	 118.91	   3.40	 118.00	  14.14	    1.2	    2.5	  0.412	 -0.199	 -0.040	  0.064	  0.078	 -0.175	  0.054
Eridanus       	 66.185	-21.187	  84.68	   2.89	 -23.15	   0.73	    0.7	    4.0	  0.527	 -0.327	  0.066	  0.035	  0.038	 -0.129	  0.031
Pal_2          	 71.525	 31.381	  26.17	   1.28	-135.97	   1.55	    5.0	    3.0	  1.044	 -1.534	  0.048	  0.032	  0.030	  0.038	  0.019
NGC_1851       	 78.528	-40.047	  11.95	   0.13	 321.40	   1.55	   10.6	   15.0	  2.139	 -0.651	  0.088	  0.025	  0.025	 -0.004	  0.010
NGC_1904_M_79  	 81.044	-24.524	  13.08	   0.18	 205.76	   0.20	    6.5	   10.0	  2.467	 -1.595	  0.088	  0.025	  0.025	  0.001	  0.011
NGC_2298       	102.248	-36.005	   9.83	   0.17	 147.15	   0.57	    3.2	    6.0	  3.314	 -2.176	  0.119	  0.026	  0.026	  0.002	  0.011
NGC_2419       	114.535	 38.882	  88.47	   2.40	 -21.10	   0.31	   11.1	    6.0	 -0.001	 -0.521	 -0.000	  0.027	  0.026	  0.012	  0.015
Ko_2           	119.571	 26.255	  34.70	    nan	    nan	    nan	    0.1	    2.0	 -0.501	 -0.115	  0.406	  0.139	  0.089	  0.082	  0.140
Pyxis          	136.991	-37.221	  36.53	   0.66	  40.46	   0.21	    0.9	    3.0	  1.023	  0.146	  0.007	  0.031	  0.033	  0.028	  0.020
NGC_2808       	138.013	-64.863	  10.06	   0.11	 103.57	   0.27	   15.0	   15.0	  0.995	  0.278	  0.111	  0.025	  0.025	 -0.001	  0.010
E_3            	140.238	-77.282	   7.88	   0.25	  11.71	   0.34	    0.6	    4.0	 -2.720	  7.081	  0.145	  0.027	  0.027	  0.001	  0.012
Pal_3          	151.383	  0.072	  94.84	   3.23	  94.04	   0.80	    0.9	    3.0	  0.085	 -0.175	  0.003	  0.055	  0.065	 -0.401	  0.047
NGC_3201       	154.403	-46.412	   4.74	   0.04	 493.65	   0.21	    4.3	   25.0	  8.351	 -1.972	  0.220	  0.023	  0.023	  0.001	  0.010
ESO_93-8       	169.925	-65.220	  13.70	    nan	  86.00	  10.00	    1.0	    2.0	 -4.057	  1.371	  0.097	  0.029	  0.029	  0.035	  0.016
Pal_4          	172.320	 28.974	 101.39	   2.57	  72.40	   0.24	    1.0	    4.0	 -0.175	 -0.495	 -0.019	  0.036	  0.035	 -0.142	  0.032
Crater         	174.067	-10.877	 147.23	   4.27	 148.10	   0.65	    0.6	    3.0	 -0.024	 -0.119	  0.002	  0.117	  0.099	 -0.250	  0.138
Bliss_1        	177.511	-41.772	  23.70	    nan	    nan	    nan	    0.1	    3.0	 -2.344	  0.142	  0.024	  0.035	  0.035	 -0.030	  0.037
Ko_1           	179.827	 12.260	  48.30	    nan	    nan	    nan	    0.1	    2.0	 -1.518	 -0.808	 -0.054	  0.117	  0.090	 -0.202	  0.115
NGC_4147       	182.526	 18.543	  18.54	   0.21	 179.35	   0.31	    3.0	    8.0	 -1.707	 -2.094	  0.037	  0.027	  0.027	 -0.023	  0.013
NGC_4372       	186.439	-72.659	   5.71	   0.21	  75.59	   0.30	    4.7	   15.0	 -6.410	  3.301	  0.187	  0.024	  0.024	  0.001	  0.010
Rup_106        	189.667	-51.150	  20.71	   0.36	 -38.36	   0.26	    1.8	    3.0	 -1.256	  0.404	  0.065	  0.026	  0.026	  0.016	  0.012
NGC_4590_M_68  	189.867	-26.744	  10.40	   0.10	 -93.11	   0.18	    3.8	   15.0	 -2.738	  1.780	  0.110	  0.024	  0.024	 -0.002	  0.011
BH_140         	193.473	-67.177	   4.81	   0.25	  90.30	   0.35	    1.0	   10.0	-14.853	  1.222	  0.219	  0.024	  0.024	  0.004	  0.010
NGC_4833       	194.891	-70.877	   6.48	   0.08	 201.99	   0.40	    4.6	   12.0	 -8.385	 -0.970	  0.162	  0.025	  0.025	  0.004	  0.010
NGC_5024_M_53  	198.230	 18.168	  18.50	   0.18	 -63.37	   0.25	    5.6	   20.0	 -0.136	 -1.332	  0.067	  0.024	  0.024	 -0.010	  0.010
NGC_5053       	199.113	 17.700	  17.54	   0.23	  42.82	   0.25	    1.6	   15.0	 -0.332	 -1.213	  0.052	  0.025	  0.025	 -0.014	  0.011
Kim_3          	200.688	-30.601	  15.10	    nan	    nan	    nan	    0.1	    2.0	 -0.851	  3.340	  0.096	  0.160	  0.125	 -0.271	  0.150
NGC_5139_oCen  	201.697	-47.480	   5.43	   0.05	 232.78	   0.21	   17.6	   40.0	 -3.255	 -6.724	  0.192	  0.025	  0.025	 -0.000	  0.009
NGC_5272_M_3   	205.548	 28.377	  10.18	   0.08	-147.20	   0.27	    8.2	   30.0	 -0.153	 -2.665	  0.109	  0.024	  0.023	  0.001	  0.010
NGC_5286       	206.612	-51.374	  11.10	   0.14	  62.38	   0.40	    9.4	    8.0	  0.195	 -0.158	  0.090	  0.026	  0.026	  0.003	  0.011
AM_4           	209.090	-27.167	  29.01	   0.94	 151.19	   2.85	    1.0	    2.0	  0.110	 -2.566	  0.372	  0.170	  0.175	 -0.332	  0.158
NGC_5466       	211.364	 28.534	  16.12	   0.16	 106.82	   0.20	    1.6	   15.0	 -5.341	 -0.820	  0.059	  0.024	  0.024	  0.007	  0.011
NGC_5634       	217.405	 -5.976	  25.96	   0.62	 -16.07	   0.60	    5.3	    8.0	 -1.692	 -1.475	  0.056	  0.027	  0.026	 -0.002	  0.012
NGC_5694       	219.901	-26.539	  34.84	   0.74	-139.55	   0.49	    8.9	    5.0	 -0.469	 -1.094	  0.036	  0.028	  0.028	 -0.042	  0.015
IC_4499        	225.077	-82.214	  18.89	   0.25	  38.41	   0.31	    2.8	    6.0	  0.467	 -0.482	  0.057	  0.025	  0.026	 -0.002	  0.011
Munoz_1        	225.450	 66.969	  45.00	    nan	-137.00	   4.00	    1.0	    3.0	 -0.090	 -0.089	  0.209	  0.184	  0.172	 -0.237	  0.126
NGC_5824       	225.994	-33.068	  31.71	   0.60	 -25.24	   0.52	   11.6	    8.0	 -1.195	 -2.237	  0.053	  0.026	  0.025	 -0.005	  0.012
Pal_5          	229.019	 -0.121	  21.94	   0.51	 -58.61	   0.15	    0.7	    8.0	 -2.726	 -2.653	  0.046	  0.027	  0.026	  0.002	  0.014
NGC_5897       	229.352	-21.010	  12.55	   0.24	 101.31	   0.22	    3.7	   10.0	 -5.419	 -3.391	  0.102	  0.025	  0.025	 -0.006	  0.011
NGC_5904_M_5   	229.638	  2.081	   7.48	   0.06	  53.50	   0.25	    7.8	   25.0	  4.075	 -9.866	  0.140	  0.024	  0.024	 -0.003	  0.010
NGC_5927       	232.003	-50.673	   8.27	   0.11	-104.09	   0.28	    6.4	   10.0	 -5.050	 -3.211	  0.128	  0.025	  0.025	 -0.002	  0.011
NGC_5946       	233.869	-50.660	   9.64	   0.51	 137.60	   0.94	    6.4	    5.0	 -5.335	 -1.657	  0.117	  0.028	  0.027	 -0.002	  0.011
BH_176         	234.781	-50.050	  18.90	    nan	  -6.00	  14.00	    0.1	    3.0	 -3.980	 -3.060	  0.080	  0.028	  0.027	 -0.019	  0.015
NGC_5986       	236.512	-37.786	  10.54	   0.13	 101.18	   0.43	    8.3	    8.0	 -4.191	 -4.567	  0.108	  0.026	  0.026	 -0.003	  0.011
FSR_1716       	242.625	-53.749	   7.43	   0.27	 -30.70	   0.98	    2.6	    4.0	 -4.377	 -8.842	  0.111	  0.031	  0.030	 -0.009	  0.015
Pal_14         	242.752	 14.958	  73.58	   1.63	  72.30	   0.14	    0.7	    5.0	 -0.466	 -0.424	  0.012	  0.038	  0.038	  0.127	  0.032
Lynga_7_BH184  	242.765	-55.318	   7.90	   0.16	  17.86	   0.83	    4.0	    4.0	 -3.853	 -7.067	  0.123	  0.027	  0.027	  0.003	  0.011
NGC_6093_M_80  	244.260	-22.976	  10.34	   0.12	  10.93	   0.39	   10.9	    8.0	 -2.934	 -5.586	  0.105	  0.027	  0.026	 -0.010	  0.011
Ryu_059_RLGC1  	244.286	-44.593	  28.80	    nan	    nan	    nan	    0.1	    1.0	  0.989	  0.769	  0.008	  0.053	  0.044	  0.014	  0.049
