# Name         	     pericenter[kpc]   	     apocenter[kpc]    	       Jr[kpc*km/s]    	       Jz[kpc*km/s]    	      Jphi[kpc*km/s]   	    Energy[km^2/s^2]   
NGC_104_47Tuc  	   5.47	   5.54	   5.63	   7.52	   7.53	   7.54	     18	     20	     22	    212	    216	    220	  -1234	  -1223	  -1213	-166959	-166710	-166336
NGC_288        	   1.82	   1.95	   2.11	  12.28	  12.37	  12.44	    521	    531	    542	    495	    507	    519	    423	    450	    473	-156629	-156117	-155705
NGC_362        	   0.21	   0.29	   0.41	  12.08	  12.21	  12.39	    794	    804	    814	    355	    367	    383	     27	     42	     56	-159090	-158527	-157925
Whiting_1      	  19.70	  21.36	  22.56	  57.08	  61.45	  65.40	   1354	   1435	   1549	   4804	   5202	   5767	  -1983	  -1790	  -1594	 -81093	 -77982	 -75665
NGC_1261       	   1.23	   1.39	   1.55	  20.73	  20.97	  21.19	   1386	   1411	   1431	    380	    389	    397	    358	    399	    443	-133443	-132825	-132414
Pal_1          	  14.15	  14.48	  14.83	  18.05	  18.49	  19.02	     33	     37	     42	    128	    135	    144	  -3582	  -3511	  -3434	-121942	-120731	-119828
AM_1           	  14.08	  29.32	  50.37	 121.32	 125.53	 133.54	   2122	   4274	   6336	   4240	   7634	  11387	  -2531	    954	   4322	 -56596	 -53822	 -49341
Eridanus       	  10.75	  14.21	  18.78	 119.09	 124.80	 132.02	   5779	   6320	   7036	   4097	   5351	   6639	  -1074	     94	   1400	 -58394	 -56361	 -54239
Pal_2          	   0.44	   0.73	   1.21	  38.00	  39.05	  40.48	   2950	   3191	   3367	     18	     23	     41	   -666	   -349	      8	-105731	-104574	-102936
NGC_1851       	   0.49	   0.60	   0.70	  19.96	  20.11	  20.33	   1472	   1494	   1513	    232	    242	    255	    177	    198	    226	-135929	-135485	-135020
NGC_1904_M_79  	   0.14	   0.22	   0.33	  19.31	  19.49	  19.61	   1566	   1588	   1600	    146	    158	    172	    -21	     20	     67	-137742	-137251	-136909
NGC_2298       	   0.90	   1.05	   1.20	  16.36	  16.61	  16.83	   1066	   1092	   1113	    214	    234	    253	    312	    366	    417	-145258	-144438	-143790
NGC_2419       	   9.80	  13.38	  16.77	  95.48	  97.46	  99.48	   4120	   4696	   5356	   1683	   2391	   3580	  -4125	  -3029	  -2098	 -65698	 -64655	 -63798
Ko_2           	  27.42	  34.69	  40.81	  64.50	  87.58	 177.42	    414	   1722	   7379	    791	    927	   1204	 -10255	  -9677	  -9081	 -70149	 -62899	 -44171
Pyxis          	  18.04	  18.81	  19.54	  90.26	  95.36	  98.61	   3522	   3685	   3872	   5880	   6186	   6470	    816	   1060	   1310	 -66302	 -64393	 -63088
NGC_2808       	   0.78	   0.81	   0.86	  14.50	  14.63	  14.76	   1092	   1110	   1127	     37	     38	     38	   -323	   -305	   -283	-152155	-151754	-151311
E_3            	   8.80	   8.95	   9.14	  11.52	  12.32	  13.45	     28	     42	     64	    277	    297	    320	  -2127	  -2042	  -1972	-144421	-142105	-139068
Pal_3          	  34.80	  48.01	  62.84	 106.15	 111.11	 116.43	    987	   1648	   2520	   8303	  10734	  12651	  -5067	  -3340	   -244	 -57436	 -53925	 -50599
NGC_3201       	   8.32	   8.35	   8.38	  27.41	  27.90	  28.52	    802	    829	    864	    300	    304	    308	   2701	   2722	   2746	-115106	-114385	-113497
ESO_93-8       	   9.63	  11.46	  12.89	  12.46	  13.10	  14.13	      4	     13	     33	     12	     14	     15	  -3041	  -2798	  -2496	-140353	-134966	-130710
Pal_4          	   3.91	   7.19	  12.32	 104.18	 107.47	 110.40	   5521	   6703	   7434	   1580	   2910	   4312	     50	    614	   1258	 -63474	 -62261	 -61078
Crater         	  29.85	  81.71	 142.06	 144.94	 149.74	 200.44	    163	   1880	   6408	   5849	  11583	  18366	  -4678	   5138	  11307	 -49909	 -42916	 -32922
Bliss_1        	  12.28	  14.24	  16.58	  24.51	  41.56	 113.82	    185	   1185	   5670	    289	    355	    421	  -6041	  -4730	  -3730	-112346	 -89144	 -48221
Ko_1           	  27.28	  38.21	  48.55	  67.10	 113.91	 242.12	    601	   2498	  10617	   7005	   9462	  10944	  -3101	  -2593	  -1893	 -69041	 -54782	 -36339
NGC_4147       	   0.39	   0.60	   0.89	  25.19	  25.40	  25.62	   1810	   1851	   1910	    619	    678	    740	      7	     32	     63	-124507	-124129	-123676
NGC_4372       	   2.82	   2.91	   3.01	   7.25	   7.30	   7.38	    138	    146	    153	     71	     77	     88	   -904	   -881	   -860	-180192	-179292	-178264
Rup_106        	   4.57	   4.74	   4.98	  32.54	  33.35	  33.96	   1636	   1678	   1717	    580	    613	    645	  -1586	  -1529	  -1468	-110964	-109855	-108883
NGC_4590_M_68  	   8.96	   9.03	   9.11	  27.93	  28.41	  28.91	    759	    788	    813	    814	    832	    847	  -2368	  -2351	  -2336	-113684	-113034	-112242
BH_140         	   1.85	   1.97	   2.10	   9.55	  10.09	  10.73	    437	    462	    492	     15	     17	     19	   -840	   -785	   -736	-171689	-168451	-165147
NGC_4833       	   0.57	   0.68	   0.73	   7.96	   8.02	   8.11	    544	    551	    559	     29	     30	     31	   -243	   -222	   -198	-183315	-182826	-182224
NGC_5024_M_53  	   8.57	   8.77	   8.96	  22.25	  22.44	  22.68	    452	    471	    489	   2136	   2175	   2214	   -694	   -678	   -662	-122597	-122147	-121678
NGC_5053       	  10.19	  10.42	  10.68	  17.87	  18.04	  18.23	    147	    159	    172	   2240	   2277	   2316	   -663	   -647	   -630	-127983	-127469	-127001
Kim_3          	  10.56	  11.65	  12.48	  52.30	  72.26	 179.60	   1945	   3420	  10919	   3494	   3999	   4497	  -1673	   -813	   -211	 -87667	 -74607	 -39268
NGC_5139_oCen  	   1.51	   1.58	   1.64	   6.96	   6.99	   7.27	    237	    243	    251	    117	    120	    126	    521	    534	    546	-185090	-184885	-184672
NGC_5272_M_3   	   4.91	   4.98	   5.04	  15.82	  15.95	  16.10	    433	    444	    455	    884	    891	    900	   -902	   -893	   -885	-140854	-140512	-140144
NGC_5286       	   0.72	   0.79	   0.88	  12.75	  12.92	  13.07	    874	    884	    897	    120	    123	    127	    294	    324	    351	-157580	-156789	-156275
AM_4           	  23.29	  24.39	  25.20	  32.97	  44.89	  57.64	    127	    406	    977	   3539	   4070	   4652	   2390	   2748	   3282	 -95280	 -86106	 -78667
NGC_5466       	   6.24	   6.37	   6.58	  45.48	  46.83	  48.28	   2350	   2417	   2491	   1915	   1988	   2064	    823	    856	    883	 -95932	 -94602	 -93249
NGC_5634       	   2.17	   2.50	   2.97	  21.80	  22.62	  23.32	   1172	   1207	   1257	    813	    879	    930	   -559	   -487	   -378	-130303	-128347	-127298
NGC_5694       	   2.15	   2.55	   2.98	  55.76	  57.28	  58.64	   3927	   4051	   4161	    458	    549	    649	    827	    908	   1022	 -88539	 -87327	 -86321
IC_4499        	   6.71	   6.98	   7.22	  27.06	  27.71	  28.29	    936	    953	    982	   1514	   1550	   1587	   1035	   1091	   1148	-117097	-115898	-114846
Munoz_1        	  17.27	  27.05	  38.97	  45.41	  48.22	  51.30	     82	    465	   1064	   3071	   4099	   5145	  -5120	  -3414	  -1915	 -88607	 -83016	 -76403
NGC_5824       	  13.48	  14.53	  15.64	  32.80	  34.09	  35.88	    584	    607	    630	   1949	   2053	   2177	  -2721	  -2514	  -2344	-103853	-101724	 -99177
Pal_5          	   7.96	   9.26	  10.42	  16.98	  17.64	  18.21	    165	    205	    253	   1521	   1650	   1760	  -1179	  -1049	   -914	-133332	-130028	-127156
NGC_5897       	   2.16	   2.39	   2.69	   9.01	   9.31	   9.66	    251	    256	    261	    572	    587	    605	   -466	   -410	   -369	-168814	-167067	-164915
NGC_5904_M_5   	   2.34	   2.39	   2.47	  24.94	  25.41	  26.13	   1400	   1435	   1482	    964	    992	   1024	   -362	   -355	   -348	-124197	-123269	-122016
NGC_5927       	   4.14	   4.17	   4.20	   5.55	   5.64	   5.74	     16	     18	     20	     23	     24	     24	  -1068	  -1055	  -1044	-184712	-183991	-183285
NGC_5946       	   0.08	   0.12	   0.22	   5.43	   5.81	   6.13	    328	    348	    354	     90	    104	    119	    -83	    -24	     21	-204796	-200984	-197462
BH_176         	  10.84	  12.34	  13.43	  13.82	  18.21	  23.55	     25	     97	    228	     27	     28	     29	  -3877	  -3294	  -2756	-134953	-124128	-114940
NGC_5986       	   0.38	   0.44	   0.53	   5.04	   5.12	   5.20	    246	    250	    255	    160	    162	    165	   -156	   -132	   -114	-201938	-200915	-199784
FSR_1716       	   2.29	   2.44	   2.58	   4.95	   5.10	   5.27	     70	     74	     78	     63	     72	     78	   -676	   -640	   -607	-198270	-196194	-194102
Pal_14         	   1.16	   1.95	   3.14	  99.21	 101.92	 104.76	   7285	   7672	   8017	    321	    555	    999	   -644	    -42	    645	 -65692	 -64734	 -63698
Lynga_7_BH184  	   1.68	   1.80	   1.88	   4.56	   4.62	   4.68	     90	     94	    100	     48	     51	     54	   -521	   -503	   -478	-205384	-204341	-203173
NGC_6093_M_80  	   0.72	   0.81	   0.88	   3.96	   4.04	   4.22	     75	     77	     79	    382	    390	    395	    -84	    -76	    -62	-206214	-205074	-204105
Ryu_059_RLGC1  	  16.02	  19.67	  21.82	 124.24	 178.15	 353.65	   5587	   8677	  19024	     41	     44	     47	   7349	   8149	   9253	 -55567	 -43948	 -24361
NGC_6121_M_4   	   0.52	   0.54	   0.58	   6.61	   6.65	   6.69	    424	    431	    435	      9	     10	     10	   -245	   -229	   -217	-193862	-193642	-193375
NGC_6101       	   9.88	  10.01	  10.16	  34.96	  36.46	  37.47	   1087	   1168	   1216	    729	    745	    760	   2890	   2953	   3008	-104341	-102569	-101425
NGC_6144       	   1.32	   1.45	   1.54	   3.79	   3.83	   3.88	     41	     47	     56	    353	    355	    355	    152	    169	    183	-205472	-205142	-204765
NGC_6139       	   0.91	   1.13	   1.49	   3.42	   3.71	   4.12	     73	     79	     83	    167	    186	    211	   -315	   -247	   -200	-214624	-209996	-203978
Terzan_3       	   2.16	   2.23	   2.28	   3.24	   3.30	   3.37	      9	     10	     12	    116	    130	    149	   -464	   -442	   -422	-209705	-209202	-208510
NGC_6171_M107  	   1.08	   1.12	   1.16	   3.73	   3.77	   3.80	     70	     71	     72	    180	    186	    191	   -272	   -260	   -249	-210371	-209948	-209568
